回合：16，买入=未开启，买入计量为0，买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-27 08:16:56 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：27，买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 10:46:46 小提琴。本次回收：0。总投入：4。总回收：0。总收益：-3。
回合：33，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 10:52:34 贝斯。本次回收：0。总投入：4。总回收：0。总收益：-3。
回合：39，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-27 10:58:22 钢琴。本次回收：0。总投入：4。总回收：0。总收益：-3。
回合：42，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-27 11:01:16 吉他。本次回收：0。总投入：4。总回收：0。总收益：-3。
回合：43，买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-27 11:02:14 钢琴。本次回收：0。总投入：4。总回收：0。总收益：-3。
回合：44，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-27 11:03:12 小提琴。本次回收：0。总投入：4。总回收：0。总收益：-3。
回合：45，买入=开启，买入计量为2，买入：贝斯,1 | 吉他,1 | 回合：14，买入=未开启，买入计量为0，买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-27 11:18:40 竖琴。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：21，买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-27 11:25:26 钢琴。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：24，买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-27 11:28:20 贝斯。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：25，买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 11:29:18 小提琴。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：34，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-27 11:38:00 贝斯。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：35，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 11:38:58 贝斯。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：38，买入=未开启，买入计量为0，买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-27 11:41:52 钢琴。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：40，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 11:43:48 吉他。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：48，买入=未开启，买入计量为0，买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-27 11:51:32 贝斯。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：52，买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-27 11:55:24 小提琴。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：54，买入=未开启，买入计量为0，买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-27 11:57:20 小提琴。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：60，买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 12:03:08 吉他。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：69，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-27 12:11:50 小提琴。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：70，买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-27 12:12:48 吉他。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：71，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-27 12:13:46 钢琴。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：76，买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 12:18:36 萨克斯风。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：78，买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 12:20:32 小提琴。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：82，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-27 12:24:24 竖琴。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：86，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-27 12:28:16 贝斯。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：87，买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-27 12:29:14 贝斯。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：89，买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-27 12:31:10 吉他。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：90，买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 12:32:08 吉他。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：93，买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-27 12:35:02 钢琴。本次回收：0。总投入：6。总回收：0。总收益：-5。
回合：94，买入=开启，买入计量为2，买入：贝斯,1 | 吉他,1 | 回合：11，买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-27 12:46:38 钢琴。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：27，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-27 13:02:06 钢琴。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：29，买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-27 13:04:02 钢琴。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：36，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-27 13:10:48 萨克斯风。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：40，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-27 13:14:40 萨克斯风。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：49，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 13:23:22 吉他。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：63，买入=未开启，买入计量为0，买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-27 13:36:54 贝斯。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：64，买入=未开启，买入计量为0，买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-27 13:37:52 小提琴。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：65，买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-27 13:38:50 钢琴。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：67，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-27 13:40:46 贝斯。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：74，买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-27 13:47:32 架子鼓。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：85，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-27 13:58:10 钢琴。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：90，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 14:03:00 贝斯。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：93，买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 14:05:54 贝斯。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：95，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-27 14:07:50 钢琴。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：98，买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 14:10:44 竖琴。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：100，买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 回合：10，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-27 14:22:20 小提琴。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：11，买入=未开启，买入计量为0，买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-27 14:23:18 吉他。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：15，买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-27 14:27:10 吉他。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：16，买入=未开启，买入计量为0，买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-27 14:28:08 钢琴。本次回收：0。总投入：8。总回收：0。总收益：-7。
回合：17，买入=开启，买入计量为2，买入：贝斯,1 | 吉他,1 | 回合：19，买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-27 14:47:28 钢琴。本次回收：0。总投入：10。总回收：0。总收益：-9。
回合：24，买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 14:52:18 架子鼓。本次回收：0。总投入：10。总回收：0。总收益：-9。
回合：27，买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 14:55:12 吉他。本次回收：0。总投入：10。总回收：0。总收益：-9。
回合：32，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 15:00:02 吉他。本次回收：0。总投入：10。总回收：0。总收益：-9。
回合：34，买入=未开启，买入计量为0，买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-27 15:01:58 吉他。本次回收：0。总投入：10。总回收：0。总收益：-9。
回合：36，买入=未开启，买入计量为0，买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-27 15:03:54 萨克斯风。本次回收：0。总投入：10。总回收：0。总收益：-9。
回合：39，买入=未开启，买入计量为0，买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-27 15:06:48 钢琴。本次回收：0。总投入：10。总回收：0。总收益：-9。
回合：44，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-27 15:11:38 小提琴。本次回收：0。总投入：10。总回收：0。总收益：-9。
回合：59，买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-27 15:26:08 贝斯。本次回收：0。总投入：10。总回收：0。总收益：-9。
回合：67，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-27 15:33:52 吉他。本次回收：0。总投入：10。总回收：0。总收益：-9。
回合：71，买入=未开启，买入计量为0，买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-27 15:37:44 架子鼓。本次回收：0。总投入：10。总回收：0。总收益：-9。
回合：75，买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-27 15:41:36 小提琴。本次回收：0。总投入：10。总回收：0。总收益：-9。
回合：78，买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 15:44:30 贝斯。本次回收：0。总投入：10。总回收：0。总收益：-9。
回合：84，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-27 15:50:18 钢琴。本次回收：0。总投入：10。总回收：0。总收益：-9。
