模拟下注：钢琴,25 | 贝斯,25 | 下注结果：【命中】。2022-12-01 22:04:26 钢琴。本次回收：125。总投入：186，总回收：390，实际收益：76，开关=2
模拟下注：小提琴,25 | 钢琴,25 | 下注结果：【未命中】。2022-12-02 01:31:18 萨克斯风。本次回收：0。，总投入：100，总回收：80，实际收益：-41，开关=2
****************************************
模拟下注：吉他,125 | 贝斯,125 | 下注结果：【未命中】。2022-12-02 01:33:14 钢琴。本次回收：0。，总投入：350，总回收：80，实际收益：-271，开关=2
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-02 01:34:12 钢琴。本次回收：0。，总投入：352，总回收：80，实际收益：-273，开关=2
****************************************
模拟下注：吉他,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-02 01:35:10 架子鼓。本次回收：0。，总投入：362，总回收：80，实际收益：-282，开关=2
****************************************
模拟下注：吉他,25 | 钢琴,25 | 下注结果：【未命中】。2022-12-02 01:43:52 架子鼓。本次回收：0。，总投入：412，总回收：80，实际收益：-328，开关=2
****************************************
模拟下注：吉他,125 | 钢琴,125 | 下注结果：【未命中】。2022-12-02 01:50:38 贝斯。本次回收：0。，总投入：662，总回收：80，实际收益：-558，开关=2
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【命中】。2022-12-02 01:51:36 钢琴。本次回收：5。总投入：664，总回收：85，实际收益：-556，开关=2
****************************************
模拟下注：小提琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 01:53:32 萨克斯风。本次回收：0。，总投入：666，总回收：85，实际收益：-558，开关=2
****************************************
模拟下注：吉他,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-02 01:56:26 钢琴。本次回收：0。，总投入：676，总回收：85，实际收益：-567，开关=2
****************************************
模拟下注：贝斯,25 | 钢琴,25 | 下注结果：【命中】。2022-12-02 01:57:24 钢琴。本次回收：125。总投入：726，总回收：210，实际收益：-534，开关=1
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-02 01:58:22 小提琴。本次回收：0。，总投入：728，总回收：210，实际收益：-536，开关=1
****************************************
模拟下注：小提琴,5 | 钢琴,5 | 下注结果：【命中】。2022-12-02 02:03:12 小提琴。本次回收：25。总投入：738，总回收：235，实际收益：-529，开关=1
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-02 02:07:04 吉他。本次回收：0。，总投入：740，总回收：235，实际收益：-531，开关=1
****************************************
模拟下注：小提琴,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-02 02:12:52 架子鼓。本次回收：0。，总投入：750，总回收：235，实际收益：-540，开关=1
****************************************
模拟下注：贝斯,25 | 吉他,25 | 下注结果：【命中】。2022-12-02 02:14:48 贝斯。本次回收：125。总投入：800，总回收：360，实际收益：-507，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 02:15:46 小提琴。本次回收：0。，总投入：802，总回收：360，实际收益：-509，开关=1
****************************************
模拟下注：吉他,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-02 02:17:42 钢琴。本次回收：0。，总投入：812，总回收：360，实际收益：-518，开关=1
****************************************
模拟下注：贝斯,25 | 钢琴,25 | 下注结果：【命中】。2022-12-02 02:31:14 贝斯。本次回收：125。总投入：862，总回收：485，实际收益：-485，开关=1
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【命中】。2022-12-02 02:39:56 钢琴。本次回收：5。总投入：864，总回收：490，实际收益：-483，开关=1
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-02 02:47:40 架子鼓。本次回收：0。，总投入：866，总回收：490，实际收益：-485，开关=1
****************************************
模拟下注：钢琴,5 | 吉他,5 | 下注结果：【未命中】。2022-12-02 02:51:32 贝斯。本次回收：0。，总投入：876，总回收：490，实际收益：-494，开关=1
****************************************
模拟下注：钢琴,25 | 吉他,25 | 下注结果：【未命中】。2022-12-02 02:54:26 贝斯。本次回收：0。，总投入：926，总回收：490，实际收益：-540，开关=2
****************************************
模拟下注：钢琴,125 | 吉他,125 | 下注结果：【未命中】。2022-12-02 02:55:24 贝斯。本次回收：0。，总投入：1176，总回收：490，实际收益：-770，开关=2
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-02 02:58:18 贝斯。本次回收：5。总投入：1178，总回收：495，实际收益：-769，开关=2
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-02 03:11:50 吉他。本次回收：0。，总投入：1180，总回收：495，实际收益：-771，开关=2
****************************************
模拟下注：小提琴,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-02 03:12:48 吉他。本次回收：0。，总投入：1190，总回收：495，实际收益：-780，开关=2
****************************************
模拟下注：钢琴,25 | 吉他,25 | 下注结果：【命中】。2022-12-02 03:13:46 钢琴。本次回收：125。总投入：1240，总回收：620，实际收益：-747，开关=1
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-02 03:14:44 架子鼓。本次回收：0。，总投入：1242，总回收：620，实际收益：-748，开关=1
****************************************
模拟下注：贝斯,5 | 小提琴,5 | 下注结果：【命中】。2022-12-02 03:20:32 贝斯。本次回收：25。总投入：1252，总回收：645，实际收益：-742，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-02 03:21:30 小提琴。本次回收：0。，总投入：1254，总回收：645，实际收益：-744，开关=1
****************************************
模拟下注：小提琴,5 | 贝斯,5 | 下注结果：【命中】。2022-12-02 03:38:54 小提琴。本次回收：25。总投入：1264，总回收：670，实际收益：-737，开关=1
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-02 03:40:50 小提琴。本次回收：5。总投入：1266，总回收：675，实际收益：-736，开关=1
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 03:43:44 贝斯。本次回收：0。，总投入：1268，总回收：675，实际收益：-737，开关=1
****************************************
模拟下注：贝斯,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-02 04:05:58 小提琴。本次回收：0。，总投入：1278，总回收：675，实际收益：-747，开关=1
****************************************
模拟下注：小提琴,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-02 04:27:14 钢琴。本次回收：0。，总投入：1328，总回收：675，实际收益：-793，开关=1
****************************************
模拟下注：小提琴,125 | 钢琴,125 | 下注结果：【未命中】。2022-12-02 04:43:40 贝斯。本次回收：0。，总投入：1578，总回收：675，实际收益：-1023，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 04:51:24 钢琴。本次回收：0。，总投入：1580，总回收：675，实际收益：-1024，开关=1
****************************************
模拟下注：钢琴,5 | 吉他,5 | 下注结果：【未命中】。2022-12-02 05:00:06 小提琴。本次回收：0。，总投入：1590，总回收：675，实际收益：-1034，开关=1
****************************************
模拟下注：小提琴,25 | 贝斯,25 | 下注结果：【命中】。2022-12-02 05:17:30 贝斯。本次回收：125。总投入：1640，总回收：800，实际收益：-1000，开关=1
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-02 05:18:28 贝斯。本次回收：5。总投入：1642，总回收：805，实际收益：-999，开关=1
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【命中】。2022-12-02 05:26:12 小提琴。本次回收：5。总投入：1644，总回收：810，实际收益：-998，开关=1
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-02 05:27:10 贝斯。本次回收：0。，总投入：1646，总回收：810，实际收益：-999，开关=1
****************************************
模拟下注：小提琴,5 | 贝斯,5 | 下注结果：【命中】。2022-12-02 05:33:56 小提琴。本次回收：25。总投入：1656，总回收：835，实际收益：-993，开关=1
****************************************
模拟下注：小提琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 05:52:18 贝斯。本次回收：0。，总投入：1658，总回收：835，实际收益：-995，开关=1
****************************************
模拟下注：贝斯,5 | 小提琴,5 | 下注结果：【命中】。2022-12-02 05:55:12 小提琴。本次回收：25。总投入：1668，总回收：860，实际收益：-988，开关=1
****************************************
模拟下注：小提琴,1 | 吉他,1 | 下注结果：【命中】。2022-12-02 05:58:06 小提琴。本次回收：5。总投入：1670，总回收：865，实际收益：-987，开关=1
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【命中】。2022-12-02 06:01:58 小提琴。本次回收：5。总投入：1672，总回收：870，实际收益：-985，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-02 06:03:54 小提琴。本次回收：0。，总投入：1674，总回收：870，实际收益：-987，开关=1
****************************************
模拟下注：吉他,5 | 贝斯,5 | 下注结果：【命中】。2022-12-02 06:06:48 贝斯。本次回收：25。总投入：1684，总回收：895，实际收益：-980，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-02 06:26:08 吉他。本次回收：0。，总投入：1686，总回收：895，实际收益：-982，开关=1
****************************************
模拟下注：吉他,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-02 06:36:46 钢琴。本次回收：0。，总投入：1696，总回收：895，实际收益：-991，开关=1
****************************************
模拟下注：钢琴,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-02 06:39:40 吉他。本次回收：0。，总投入：1746，总回收：895，实际收益：-1037，开关=2
****************************************
模拟下注：小提琴,125 | 钢琴,125 | 下注结果：【命中】。2022-12-02 06:42:34 钢琴。本次回收：625。总投入：1996，总回收：1520，实际收益：-871，开关=2
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 06:45:28 小提琴。本次回收：0。，总投入：1998，总回收：1520，实际收益：-872，开关=2
****************************************
模拟下注：钢琴,5 | 吉他,5 | 下注结果：【命中】。2022-12-02 06:46:26 钢琴。本次回收：25。总投入：2008，总回收：1545，实际收益：-866，开关=2
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-02 06:48:22 竖琴。本次回收：0。，总投入：2010，总回收：1545，实际收益：-868，开关=2
****************************************
模拟下注：贝斯,5 | 小提琴,5 | 下注结果：【命中】。2022-12-02 06:52:14 小提琴。本次回收：25。总投入：2020，总回收：1570，实际收益：-861，开关=2
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-02 06:59:00 小提琴。本次回收：0。，总投入：2022，总回收：1570，实际收益：-863，开关=2
****************************************
模拟下注：贝斯,5 | 钢琴,5 | 下注结果：【命中】。2022-12-02 07:05:46 钢琴。本次回收：25。总投入：2032，总回收：1595，实际收益：-856，开关=2
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-02 07:16:24 吉他。本次回收：0。，总投入：2034，总回收：1595，实际收益：-858，开关=2
****************************************
模拟下注：贝斯,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-02 07:17:22 小提琴。本次回收：0。，总投入：2044，总回收：1595，实际收益：-867，开关=2
****************************************
模拟下注：钢琴,25 | 小提琴,25 | 下注结果：【未命中】。2022-12-02 07:26:04 贝斯。本次回收：0。，总投入：2094，总回收：1595，实际收益：-913，开关=1
****************************************
模拟下注：钢琴,125 | 贝斯,125 | 下注结果：【命中】。2022-12-02 07:36:42 钢琴。本次回收：625。总投入：2344，总回收：2220，实际收益：-746，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-02 07:37:40 贝斯。本次回收：5。总投入：2346，总回收：2225，实际收益：-745，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 07:38:38 小提琴。本次回收：0。，总投入：2348，总回收：2225，实际收益：-747，开关=1
****************************************
模拟下注：钢琴,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-02 07:44:26 吉他。本次回收：0。，总投入：2358，总回收：2225，实际收益：-756，开关=1
****************************************
模拟下注：贝斯,25 | 吉他,25 | 下注结果：【命中】。2022-12-02 07:49:16 贝斯。本次回收：125。总投入：2408，总回收：2350，实际收益：-723，开关=2
****************************************
模拟下注：小提琴,1 | 吉他,1 | 下注结果：【命中】。2022-12-02 07:56:02 小提琴。本次回收：5。总投入：2410，总回收：2355，实际收益：-721，开关=2
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 08:03:46 架子鼓。本次回收：0。，总投入：2412，总回收：2355，实际收益：-723，开关=2
****************************************
模拟下注：贝斯,5 | 吉他,5 | 下注结果：【命中】。2022-12-02 08:21:10 贝斯。本次回收：25。总投入：2422，总回收：2380，实际收益：-716，开关=2
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 08:30:50 竖琴。本次回收：0。，总投入：2424，总回收：2380，实际收益：-718，开关=2
****************************************
模拟下注：贝斯,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-02 08:32:46 架子鼓。本次回收：0。，总投入：2434，总回收：2380，实际收益：-727，开关=2
****************************************
模拟下注：贝斯,25 | 吉他,25 | 下注结果：【命中】。2022-12-02 08:49:12 贝斯。本次回收：125。总投入：2484，总回收：2505，实际收益：-694，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-02 08:50:10 贝斯。本次回收：5。总投入：2486，总回收：2510，实际收益：-693，开关=1
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【命中】。2022-12-02 08:53:04 小提琴。本次回收：5。总投入：2488，总回收：2515，实际收益：-691，开关=1
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-02 09:01:46 架子鼓。本次回收：0。，总投入：2490，总回收：2515，实际收益：-693，开关=1
****************************************
模拟下注：钢琴,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-02 09:04:40 架子鼓。本次回收：0。，总投入：2500，总回收：2515，实际收益：-702，开关=1
****************************************
模拟下注：吉他,25 | 小提琴,25 | 下注结果：【未命中】。2022-12-02 09:07:34 钢琴。本次回收：0。，总投入：2550，总回收：2515，实际收益：-748，开关=2
****************************************
模拟下注：钢琴,125 | 小提琴,125 | 下注结果：【未命中】。2022-12-02 09:08:32 架子鼓。本次回收：0。，总投入：2800，总回收：2515，实际收益：-978，开关=2
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-02 09:10:28 吉他。本次回收：5。总投入：2802，总回收：2520，实际收益：-977，开关=2
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-02 09:18:12 钢琴。本次回收：0。，总投入：2804，总回收：2520，实际收益：-979，开关=2
****************************************
模拟下注：吉他,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-02 09:27:52 钢琴。本次回收：0。，总投入：2814，总回收：2520，实际收益：-988，开关=2
****************************************
模拟下注：小提琴,25 | 吉他,25 | 下注结果：【未命中】。2022-12-02 09:38:30 圆号。本次回收：0。，总投入：2864，总回收：2520，实际收益：-1034，开关=1
****************************************
模拟下注：小提琴,125 | 吉他,125 | 模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-02 10:07:30 竖琴。本次回收：0。，总投入：2，总回收：0，实际收益：-1，开关=1
****************************************
模拟下注：小提琴,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-02 10:17:10 架子鼓。本次回收：0。，总投入：12，总回收：0，实际收益：-11，开关=1
****************************************
模拟下注：小提琴,25 | 钢琴,25 | 下注结果：【命中】。2022-12-02 10:20:04 钢琴。本次回收：125。总投入：62，总回收：125，实际收益：22，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-02 10:22:00 吉他。本次回收：0。，总投入：64，总回收：125，实际收益：20，开关=1
****************************************
模拟下注：吉他,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-02 10:28:46 小提琴。本次回收：0。，总投入：74，总回收：125，实际收益：11，开关=1
****************************************
模拟下注：钢琴,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-02 10:33:36 吉他。本次回收：0。，总投入：124，总回收：125，实际收益：-34，开关=2
****************************************
模拟下注：吉他,125 | 贝斯,125 | 下注结果：【未命中】。2022-12-02 10:34:34 小提琴。本次回收：0。，总投入：374，总回收：125，实际收益：-264，开关=2
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-02 10:35:32 小提琴。本次回收：5。总投入：376，总回收：130，实际收益：-263，开关=2
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【命中】。2022-12-02 10:37:28 小提琴。本次回收：5。总投入：378，总回收：135，实际收益：-262，开关=2
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-02 10:42:18 小提琴。本次回收：0。，总投入：380，总回收：135，实际收益：-263，开关=2
****************************************
模拟下注：钢琴,5 | 小提琴,5 | 下注结果：【命中】。2022-12-02 10:52:56 小提琴。本次回收：25。总投入：390，总回收：160，实际收益：-257，开关=2
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-02 10:57:46 萨克斯风。本次回收：0。，总投入：392，总回收：160，实际收益：-259，开关=2
****************************************
模拟下注：吉他,5 | 小提琴,5 | 下注结果：【命中】。2022-12-02 11:08:24 小提琴。本次回收：25。总投入：402，总回收：185，实际收益：-252，开关=2
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-02 11:13:14 贝斯。本次回收：0。，总投入：404，总回收：185，实际收益：-254，开关=2
****************************************
模拟下注：吉他,5 | 小提琴,5 | 下注结果：【命中】。2022-12-02 11:14:12 吉他。本次回收：25。总投入：414，总回收：210，实际收益：-247，开关=2
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 11:18:04 小提琴。本次回收：0。，总投入：416，总回收：210，实际收益：-249，开关=2
****************************************
模拟下注：贝斯,5 | 吉他,5 | 下注结果：【命中】。2022-12-02 11:19:02 贝斯。本次回收：25。总投入：426，总回收：235，实际收益：-242，开关=2
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-02 11:22:54 钢琴。本次回收：0。，总投入：428，总回收：235，实际收益：-244，开关=2
****************************************
模拟下注：钢琴,5 | 小提琴,5 | 下注结果：【命中】。2022-12-02 11:23:52 小提琴。本次回收：25。总投入：438，总回收：260，实际收益：-237，开关=2
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-02 11:26:46 贝斯。本次回收：0。，总投入：440，总回收：260，实际收益：-239，开关=2
****************************************
模拟下注：贝斯,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-02 11:28:42 吉他。本次回收：0。，总投入：450，总回收：260，实际收益：-248，开关=2
****************************************
模拟下注：吉他,25 | 小提琴,25 | 下注结果：【未命中】。2022-12-02 11:30:38 贝斯。本次回收：0。，总投入：500，总回收：260，实际收益：-294，开关=2
****************************************
模拟下注：吉他,125 | 小提琴,125 | 模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【命中】。2022-12-02 11:53:50 钢琴。本次回收：5。总投入：2，总回收：5，实际收益：1，开关=1
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-02 11:54:48 贝斯。本次回收：0。，总投入：4，总回收：5，实际收益：0，开关=1
****************************************
模拟下注：钢琴,5 | 贝斯,5 | 下注结果：【命中】。2022-12-02 11:58:40 贝斯。本次回收：25。总投入：14，总回收：30，实际收益：6，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-02 11:59:38 贝斯。本次回收：5。总投入：16，总回收：35，实际收益：7，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-02 12:00:36 小提琴。本次回收：0。，总投入：18，总回收：35，实际收益：5，开关=1
****************************************
模拟下注：吉他,5 | 钢琴,5 | 下注结果：【命中】。2022-12-02 12:03:30 钢琴。本次回收：25。总投入：28，总回收：60，实际收益：12，开关=1
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-02 12:04:28 贝斯。本次回收：0。，总投入：30，总回收：60，实际收益：10，开关=1
****************************************
模拟下注：吉他,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-02 12:08:20 贝斯。本次回收：0。，总投入：40，总回收：60，实际收益：1，开关=1
****************************************
模拟下注：吉他,25 | 小提琴,25 | 下注结果：【未命中】。2022-12-02 12:12:12 贝斯。本次回收：0。，总投入：90，总回收：60，实际收益：-44，开关=1
****************************************
模拟下注：小提琴,125 | 钢琴,125 | 下注结果：【未命中】。2022-12-02 12:15:06 架子鼓。本次回收：0。，总投入：340，总回收：60，实际收益：-274，开关=1
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 12:26:42 贝斯。本次回收：0。，总投入：342，总回收：60，实际收益：-276，开关=1
****************************************
模拟下注：贝斯,5 | 小提琴,5 | 下注结果：【命中】。2022-12-02 12:39:16 贝斯。本次回收：25。总投入：352，总回收：85，实际收益：-269，开关=1
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-02 12:47:00 小提琴。本次回收：0。，总投入：354，总回收：85，实际收益：-271，开关=1
****************************************
模拟下注：吉他,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-02 12:57:38 萨克斯风。本次回收：0。，总投入：364，总回收：85，实际收益：-280，开关=1
****************************************
模拟下注：贝斯,25 | 小提琴,25 | 下注结果：【命中】。2022-12-02 12:58:36 贝斯。本次回收：125。总投入：414，总回收：210，实际收益：-247，开关=2
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-02 13:02:28 贝斯。本次回收：0。，总投入：416，总回收：210，实际收益：-249，开关=2
****************************************
模拟下注：吉他,5 | 贝斯,5 | 下注结果：【命中】。2022-12-02 13:08:16 吉他。本次回收：25。总投入：426，总回收：235，实际收益：-242，开关=2
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-02 13:11:10 竖琴。本次回收：0。，总投入：428，总回收：235，实际收益：-244，开关=2
****************************************
模拟下注：贝斯,5 | 吉他,5 | 下注结果：【未命中】。2022-12-02 13:24:42 小提琴。本次回收：0。，总投入：438，总回收：235，实际收益：-253，开关=2
****************************************
模拟下注：钢琴,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-02 13:25:40 小提琴。本次回收：0。，总投入：488，总回收：235，实际收益：-299，开关=1
****************************************
模拟下注：小提琴,125 | 吉他,125 | 下注结果：【未命中】。2022-12-02 13:28:34 钢琴。本次回收：0。，总投入：738，总回收：235，实际收益：-529，开关=1
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-02 13:33:24 贝斯。本次回收：0。，总投入：740，总回收：235，实际收益：-531，开关=1
****************************************
