买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 22:10:30 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 08:45:36 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 08:47:32 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 08:48:30 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 08:50:26 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 08:52:22 架子鼓。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 08:55:16 竖琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 09:04:56 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 09:05:54 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 09:08:48 圆号。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 09:13:38 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-26 09:14:36 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-26 09:15:34 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 09:16:32 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 09:31:02 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 09:34:54 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 09:35:52 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 09:38:46 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 09:40:42 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-26 09:45:32 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-26 09:47:28 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 09:49:24 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 09:50:22 架子鼓。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-26 09:59:04 萨克斯风。本次回收：0。总投入：0。总回收：0。总收益：0。
