模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-14 16:46:52 钢琴。本次回收：0。，总投入：0，总回收：0，实际收益：0，开关=1
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【命中】。2022-12-14 23:19:20 小提琴。本次回收：0。总投入：444，总回收：0，实际收益：-408，开关=2
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-14 23:24:10 小提琴。本次回收：0。，总投入：446，总回收：0，实际收益：-410，开关=1
****************************************
模拟下注：小提琴,10 | 贝斯,10 | 下注结果：【未命中】。2022-12-14 23:44:28 钢琴。本次回收：0。，总投入：466，总回收：0，实际收益：-428，开关=2
****************************************
模拟下注：吉他,100 | 钢琴,100 | 下注结果：【未命中】。2022-12-14 23:45:26 架子鼓。本次回收：0。，总投入：666，总回收：0，实际收益：-612，开关=1
****************************************
模拟下注：吉他,0 | 贝斯,0 | 下注结果：【命中】。2022-12-14 23:54:08 贝斯。本次回收：0。总投入：666，总回收：0，实际收益：-612，开关=2
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【命中】。2022-12-14 23:59:56 小提琴。本次回收：0。总投入：666，总回收：0，实际收益：-612，开关=2
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【命中】。2022-12-15 00:01:52 钢琴。本次回收：5。总投入：668，总回收：5，实际收益：-611，开关=2
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【命中】。2022-12-15 01:02:46 吉他。本次回收：5。总投入：2，总回收：5，实际收益：1，开关=1
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【命中】。2022-12-15 01:03:44 贝斯。本次回收：5。总投入：4，总回收：10，实际收益：2，开关=2
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-15 01:06:38 贝斯。本次回收：0。，总投入：6，总回收：10，实际收益：0，开关=1
****************************************
模拟下注：钢琴,10 | 小提琴,10 | 下注结果：【命中】。2022-12-15 01:12:26 钢琴。本次回收：50。总投入：26，总回收：60，实际收益：14，开关=1
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-15 01:14:22 贝斯。本次回收：0。，总投入：28，总回收：60，实际收益：12，开关=1
****************************************
模拟下注：吉他,10 | 钢琴,10 | 下注结果：【未命中】。2022-12-15 01:27:54 贝斯。本次回收：0。，总投入：48，总回收：60，实际收益：-6，开关=1
****************************************
模拟下注：吉他,100 | 钢琴,100 | 下注结果：【未命中】。2022-12-15 01:32:44 小提琴。本次回收：0。，总投入：248，总回收：60，实际收益：-190，开关=2
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 01:33:42 吉他。本次回收：0。，总投入：248，总回收：60，实际收益：-190，开关=1
****************************************
模拟下注：钢琴,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 01:40:28 小提琴。本次回收：0。，总投入：248，总回收：60，实际收益：-190，开关=2
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 01:41:26 吉他。本次回收：0。，总投入：248，总回收：60，实际收益：-190，开关=1
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 01:43:22 贝斯。本次回收：0。，总投入：248，总回收：60，实际收益：-190，开关=1
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 01:49:10 小提琴。本次回收：0。，总投入：248，总回收：60，实际收益：-190，开关=1
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【命中】。2022-12-15 01:52:04 贝斯。本次回收：0。总投入：248，总回收：60，实际收益：-190，开关=2
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 01:58:50 吉他。本次回收：0。，总投入：248，总回收：60，实际收益：-190，开关=1
****************************************
模拟下注：钢琴,0 | 吉他,0 | 下注结果：【命中】。2022-12-15 02:13:20 吉他。本次回收：0。总投入：248，总回收：60，实际收益：-190，开关=2
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【命中】。2022-12-15 02:16:14 钢琴。本次回收：0。总投入：248，总回收：60，实际收益：-190，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-15 02:17:12 钢琴。本次回收：5。总投入：250，总回收：65，实际收益：-188，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-15 02:18:10 架子鼓。本次回收：0。，总投入：252，总回收：65，实际收益：-190，开关=1
****************************************
模拟下注：小提琴,10 | 贝斯,10 | 下注结果：【未命中】。2022-12-15 02:32:40 吉他。本次回收：0。，总投入：272，总回收：65，实际收益：-208，开关=1
****************************************
模拟下注：吉他,100 | 贝斯,100 | 下注结果：【未命中】。2022-12-15 02:36:32 架子鼓。本次回收：0。，总投入：472，总回收：65，实际收益：-392，开关=1
****************************************
模拟下注：吉他,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 02:38:28 小提琴。本次回收：0。，总投入：472，总回收：65，实际收益：-392，开关=1
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 02:56:50 小提琴。本次回收：0。，总投入：472，总回收：65，实际收益：-392，开关=2
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 02:57:48 架子鼓。本次回收：0。，总投入：472，总回收：65，实际收益：-392，开关=1
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【命中】。2022-12-15 03:06:30 贝斯。本次回收：0。总投入：472，总回收：65，实际收益：-392，开关=2
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 03:20:02 钢琴。本次回收：0。，总投入：472，总回收：65，实际收益：-392，开关=2
****************************************
模拟下注：钢琴,0 | 小提琴,0 | 下注结果：【命中】。2022-12-15 03:21:58 小提琴。本次回收：0。总投入：472，总回收：65，实际收益：-392，开关=2
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【命中】。2022-12-15 03:24:52 吉他。本次回收：0。总投入：472，总回收：65，实际收益：-392，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-15 03:25:50 吉他。本次回收：5。总投入：474，总回收：70，实际收益：-391，开关=1
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-15 03:30:40 圆号。本次回收：0。，总投入：476，总回收：70，实际收益：-393，开关=1
****************************************
模拟下注：钢琴,10 | 小提琴,10 | 下注结果：【未命中】。2022-12-15 03:47:06 圆号。本次回收：0。，总投入：496，总回收：70，实际收益：-411，开关=1
****************************************
模拟下注：钢琴,100 | 小提琴,100 | 下注结果：【命中】。2022-12-15 03:50:00 小提琴。本次回收：500。总投入：696，总回收：570，实际收益：-278，开关=1
****************************************
模拟下注：钢琴,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 03:50:58 贝斯。本次回收：0。，总投入：696，总回收：570，实际收益：-278，开关=1
****************************************
模拟下注：钢琴,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 04:01:36 萨克斯风。本次回收：0。，总投入：696，总回收：570，实际收益：-278，开关=2
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 04:11:16 钢琴。本次回收：0。，总投入：696，总回收：570，实际收益：-278，开关=2
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 04:12:14 小提琴。本次回收：0。，总投入：696，总回收：570，实际收益：-278，开关=1
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【命中】。2022-12-15 04:20:56 吉他。本次回收：0。总投入：696，总回收：570，实际收益：-278，开关=2
****************************************
模拟下注：小提琴,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 04:29:38 架子鼓。本次回收：0。，总投入：696，总回收：570，实际收益：-278，开关=1
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 04:33:30 小提琴。本次回收：0。，总投入：696，总回收：570，实际收益：-278，开关=1
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 04:37:22 吉他。本次回收：0。，总投入：696，总回收：570，实际收益：-278，开关=1
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 04:51:52 钢琴。本次回收：0。，总投入：696，总回收：570，实际收益：-278，开关=2
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 04:52:50 小提琴。本次回收：0。，总投入：696，总回收：570，实际收益：-278，开关=1
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【命中】。2022-12-15 04:59:36 钢琴。本次回收：0。总投入：696，总回收：570，实际收益：-278，开关=2
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 05:07:20 钢琴。本次回收：0。，总投入：696，总回收：570，实际收益：-278，开关=2
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 05:08:18 吉他。本次回收：0。，总投入：696，总回收：570，实际收益：-278，开关=1
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【命中】。2022-12-15 05:13:08 小提琴。本次回收：0。总投入：696，总回收：570，实际收益：-278，开关=2
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 05:22:48 吉他。本次回收：0。，总投入：696，总回收：570，实际收益：-278，开关=2
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【命中】。2022-12-15 05:30:32 吉他。本次回收：0。总投入：696，总回收：570，实际收益：-278，开关=2
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 05:42:08 小提琴。本次回收：0。，总投入：696，总回收：570，实际收益：-278，开关=2
****************************************
模拟下注：小提琴,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 05:49:52 钢琴。本次回收：0。，总投入：696，总回收：570，实际收益：-278，开关=2
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 05:50:50 小提琴。本次回收：0。，总投入：696，总回收：570，实际收益：-278，开关=1
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【命中】。2022-12-15 06:01:28 吉他。本次回收：0。总投入：696，总回收：570，实际收益：-278，开关=2
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 06:10:10 贝斯。本次回收：0。，总投入：696，总回收：570，实际收益：-278，开关=1
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【命中】。2022-12-15 06:15:58 小提琴。本次回收：0。总投入：696，总回收：570，实际收益：-278，开关=1
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 06:16:56 吉他。本次回收：0。，总投入：696，总回收：570，实际收益：-278，开关=2
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【命中】。2022-12-15 06:31:26 钢琴。本次回收：0。总投入：696，总回收：570，实际收益：-278，开关=1
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【命中】。2022-12-15 06:33:22 小提琴。本次回收：0。总投入：696，总回收：570，实际收益：-278，开关=1
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【命中】。2022-12-15 06:46:54 小提琴。本次回收：5。总投入：698，总回收：575，实际收益：-277，开关=1
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【命中】。2022-12-15 06:47:52 贝斯。本次回收：5。总投入：700，总回收：580，实际收益：-275，开关=1
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-15 06:48:50 吉他。本次回收：0。，总投入：702，总回收：580，实际收益：-277，开关=1
****************************************
模拟下注：小提琴,10 | 吉他,10 | 下注结果：【未命中】。2022-12-15 06:55:36 贝斯。本次回收：0。，总投入：722，总回收：580，实际收益：-295，开关=1
****************************************
模拟下注：钢琴,100 | 贝斯,100 | 下注结果：【未命中】。2022-12-15 07:01:24 小提琴。本次回收：0。，总投入：922，总回收：580，实际收益：-479，开关=1
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 07:03:20 钢琴。本次回收：0。，总投入：922，总回收：580，实际收益：-479，开关=1
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【命中】。2022-12-15 07:13:00 吉他。本次回收：0。总投入：922，总回收：580，实际收益：-479，开关=1
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 07:13:58 贝斯。本次回收：0。，总投入：922，总回收：580，实际收益：-479，开关=2
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【命中】。2022-12-15 07:19:46 钢琴。本次回收：0。总投入：922，总回收：580，实际收益：-479，开关=2
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 07:30:24 贝斯。本次回收：0。，总投入：922，总回收：580，实际收益：-479，开关=1
****************************************
模拟下注：吉他,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 07:32:20 钢琴。本次回收：0。，总投入：922，总回收：580，实际收益：-479，开关=1
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【命中】。2022-12-15 07:41:02 贝斯。本次回收：0。总投入：922，总回收：580，实际收益：-479，开关=2
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 07:46:50 吉他。本次回收：0。，总投入：922，总回收：580，实际收益：-479，开关=2
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 08:06:10 小提琴。本次回收：0。，总投入：922，总回收：580，实际收益：-479，开关=2
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【命中】。2022-12-15 08:07:08 小提琴。本次回收：0。总投入：922，总回收：580，实际收益：-479，开关=1
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 08:10:02 竖琴。本次回收：0。，总投入：922，总回收：580，实际收益：-479，开关=2
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 08:11:00 吉他。本次回收：0。，总投入：922，总回收：580，实际收益：-479，开关=1
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 08:17:46 小提琴。本次回收：0。，总投入：922，总回收：580，实际收益：-479，开关=2
****************************************
模拟下注：钢琴,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 08:18:44 吉他。本次回收：0。，总投入：922，总回收：580，实际收益：-479，开关=1
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 08:22:36 钢琴。本次回收：0。，总投入：922，总回收：580，实际收益：-479，开关=1
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 08:30:20 架子鼓。本次回收：0。，总投入：922，总回收：580，实际收益：-479，开关=1
****************************************
模拟下注：钢琴,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 08:33:14 竖琴。本次回收：0。，总投入：922，总回收：580，实际收益：-479，开关=2
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【命中】。2022-12-15 08:34:12 小提琴。本次回收：0。总投入：922，总回收：580，实际收益：-479，开关=1
****************************************
模拟下注：钢琴,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 08:35:10 小提琴。本次回收：0。，总投入：922，总回收：580，实际收益：-479，开关=2
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 08:36:08 吉他。本次回收：0。，总投入：922，总回收：580，实际收益：-479，开关=1
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 08:42:54 竖琴。本次回收：0。，总投入：922，总回收：580，实际收益：-479，开关=2
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 08:44:50 架子鼓。本次回收：0。，总投入：922，总回收：580，实际收益：-479，开关=2
****************************************
模拟下注：钢琴,0 | 小提琴,0 | 下注结果：【命中】。2022-12-15 08:49:40 小提琴。本次回收：0。总投入：922，总回收：580，实际收益：-479，开关=1
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【命中】。2022-12-15 08:50:38 贝斯。本次回收：0。总投入：922，总回收：580，实际收益：-479，开关=2
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【命中】。2022-12-15 08:58:22 钢琴。本次回收：5。总投入：924，总回收：585，实际收益：-478，开关=2
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-15 09:05:08 小提琴。本次回收：0。，总投入：926，总回收：585，实际收益：-480，开关=2
****************************************
模拟下注：吉他,10 | 贝斯,10 | 下注结果：【未命中】。2022-12-15 09:19:38 钢琴。本次回收：0。，总投入：946，总回收：585，实际收益：-498，开关=2
****************************************
模拟下注：钢琴,100 | 小提琴,100 | 下注结果：【未命中】。2022-12-15 09:22:32 贝斯。本次回收：0。，总投入：1146，总回收：585，实际收益：-682，开关=2
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【命中】。2022-12-15 09:31:14 小提琴。本次回收：0。总投入：1146，总回收：585，实际收益：-682，开关=1
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 09:37:02 小提琴。本次回收：0。，总投入：1146，总回收：585，实际收益：-682，开关=1
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 09:45:44 圆号。本次回收：0。，总投入：1146，总回收：585，实际收益：-682，开关=2
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 09:53:28 贝斯。本次回收：0。，总投入：1146，总回收：585，实际收益：-682，开关=2
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【命中】。2022-12-15 10:07:00 小提琴。本次回收：0。总投入：1146，总回收：585，实际收益：-682，开关=2
****************************************
模拟下注：钢琴,0 | 小提琴,0 | 下注结果：【命中】。2022-12-15 10:09:54 小提琴。本次回收：0。总投入：1146，总回收：585，实际收益：-682，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-15 10:10:52 贝斯。本次回收：5。总投入：1148，总回收：590，实际收益：-681，开关=2
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-15 10:32:08 架子鼓。本次回收：0。，总投入：1150，总回收：590，实际收益：-683，开关=2
****************************************
模拟下注：吉他,10 | 钢琴,10 | 下注结果：【未命中】。2022-12-15 10:38:54 小提琴。本次回收：0。，总投入：1170，总回收：590，实际收益：-701，开关=2
****************************************
