同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-20 16:41:08 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-20 18:30:22 钢琴。本次回收：0。总投入：696。总回收：1070。总收益：39。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-20 18:33:16 钢琴。本次回收：0。总投入：696。总回收：1070。总收益：39。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-20 18:40:02 小提琴。本次回收：0。总投入：696。总回收：1070。总收益：39。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-20 18:41:58 吉他。本次回收：0。总投入：696。总回收：1070。总收益：39。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-20 18:45:50 吉他。本次回收：0。总投入：696。总回收：1070。总收益：39。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-20 18:52:36 架子鼓。本次回收：0。总投入：696。总回收：1070。总收益：39。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-20 18:56:28 贝斯。本次回收：0。总投入：696。总回收：1070。总收益：39。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-20 18:57:26 架子鼓。本次回收：0。总投入：696。总回收：1070。总收益：39。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-20 19:05:10 竖琴。本次回收：0。总投入：696。总回收：1070。总收益：39。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-20 19:07:06 小提琴。本次回收：0。总投入：696。总回收：1070。总收益：39。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-20 19:11:56 钢琴。本次回收：0。总投入：696。总回收：1070。总收益：39。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-20 19:13:52 贝斯。本次回收：0。总投入：696。总回收：1070。总收益：39。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-20 19:14:50 小提琴。本次回收：0。总投入：696。总回收：1070。总收益：39。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 钢琴,1 | 买入结果：【命中】。2022-12-20 19:15:48 钢琴。本次回收：5。总投入：698。总回收：1075。总收益：40。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 吉他,1 | 买入结果：【命中】。2022-12-20 19:16:46 贝斯。本次回收：5。总投入：700。总回收：1080。总收益：41。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-20 19:24:30 贝斯。本次回收：0。总投入：702。总回收：1080。总收益：39。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：吉他,10 | 贝斯,10 | 买入结果：【命中】。2022-12-20 19:26:26 吉他。本次回收：50。总投入：722。总回收：1130。总收益：53。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 贝斯,1 | 买入结果：【未命中】。2022-12-20 19:27:24 架子鼓。本次回收：0。总投入：724。总回收：1130。总收益：51。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：钢琴,10 | 吉他,10 | 买入结果：【命中】。2022-12-20 19:32:14 吉他。本次回收：50。总投入：744。总回收：1180。总收益：64。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 贝斯,1 | 买入结果：【命中】。2022-12-20 19:33:12 贝斯。本次回收：5。总投入：746。总回收：1185。总收益：66。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 贝斯,1 | 买入结果：【命中】。2022-12-20 19:35:08 贝斯。本次回收：5。总投入：748。总回收：1190。总收益：67。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 小提琴,1 | 买入结果：【命中】。2022-12-20 19:36:06 钢琴。本次回收：5。总投入：750。总回收：1195。总收益：68。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 贝斯,1 | 买入结果：【命中】。2022-12-20 19:37:04 贝斯。本次回收：5。总投入：752。总回收：1200。总收益：70。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 小提琴,1 | 买入结果：【命中】。2022-12-20 19:38:02 钢琴。本次回收：5。总投入：754。总回收：1205。总收益：71。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 贝斯,1 | 买入结果：【未命中】。2022-12-20 19:39:00 钢琴。本次回收：0。总投入：756。总回收：1205。总收益：69。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：贝斯,10 | 钢琴,10 | 买入结果：【命中】。2022-12-20 19:44:48 贝斯。本次回收：50。总投入：776。总回收：1255。总收益：83。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-20 19:51:34 贝斯。本次回收：0。总投入：778。总回收：1255。总收益：81。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：吉他,10 | 小提琴,10 | 买入结果：【命中】。2022-12-20 19:56:24 小提琴。本次回收：50。总投入：798。总回收：1305。总收益：94。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 贝斯,1 | 买入结果：【命中】。2022-12-20 19:57:22 吉他。本次回收：5。总投入：800。总回收：1310。总收益：95。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 吉他,1 | 买入结果：【命中】。2022-12-20 19:58:20 贝斯。本次回收：5。总投入：802。总回收：1315。总收益：97。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 钢琴,1 | 买入结果：【命中】。2022-12-20 20:01:14 吉他。本次回收：5。总投入：804。总回收：1320。总收益：98。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 钢琴,1 | 买入结果：【命中】。2022-12-20 20:02:12 小提琴。本次回收：5。总投入：806。总回收：1325。总收益：99。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 吉他,1 | 买入结果：【命中】。2022-12-20 20:12:50 贝斯。本次回收：5。总投入：808。总回收：1330。总收益：101。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 吉他,1 | 买入结果：【未命中】。2022-12-20 20:13:48 贝斯。本次回收：0。总投入：810。总回收：1330。总收益：99。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：贝斯,10 | 吉他,10 | 买入结果：【未命中】。2022-12-20 20:20:34 架子鼓。本次回收：0。总投入：830。总回收：1330。总收益：80。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：钢琴,100 | 贝斯,100 | 买入结果：【未命中】。2022-12-20 20:24:26 吉他。本次回收：0。总投入：1030。总回收：1330。总收益：-103。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-20 20:32:10 贝斯。本次回收：0。总投入：1032。总回收：1330。总收益：-104。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：吉他,10 | 小提琴,10 | 买入结果：【未命中】。2022-12-20 20:33:08 钢琴。本次回收：0。总投入：1052。总回收：1330。总收益：-123。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：贝斯,100 | 钢琴,100 | 买入结果：【命中】。2022-12-20 20:36:02 钢琴。本次回收：500。总投入：1252。总回收：1830。总收益：10。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-20 20:37:00 贝斯。本次回收：0。总投入：1252。总回收：1830。总收益：10。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-20 20:38:56 竖琴。本次回收：0。总投入：1252。总回收：1830。总收益：10。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-20 20:45:42 小提琴。本次回收：0。总投入：1252。总回收：1830。总收益：10。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-20 20:49:34 贝斯。本次回收：0。总投入：1252。总回收：1830。总收益：10。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-20 20:51:30 钢琴。本次回收：0。总投入：1252。总回收：1830。总收益：10。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-20 20:56:20 贝斯。本次回收：0。总投入：1252。总回收：1830。总收益：10。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-20 20:59:14 钢琴。本次回收：0。总投入：1252。总回收：1830。总收益：10。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-20 21:03:06 钢琴。本次回收：0。总投入：1252。总回收：1830。总收益：10。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-20 21:04:04 吉他。本次回收：0。总投入：1252。总回收：1830。总收益：10。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-20 21:05:02 贝斯。本次回收：0。总投入：1252。总回收：1830。总收益：10。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-20 21:08:54 钢琴。本次回收：0。总投入：1252。总回收：1830。总收益：10。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-20 21:13:44 吉他。本次回收：0。总投入：1252。总回收：1830。总收益：10。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-20 21:30:10 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-20 21:32:06 萨克斯风。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-20 21:34:02 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-20 21:35:00 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-20 21:36:56 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-20 21:38:52 架子鼓。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-20 21:44:40 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-20 21:50:28 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 钢琴,1 | 买入结果：【命中】。2022-12-20 21:54:20 小提琴。本次回收：5。总投入：2。总回收：5。总收益：1。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 钢琴,1 | 买入结果：【命中】。2022-12-20 21:56:16 小提琴。本次回收：5。总投入：4。总回收：10。总收益：2。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 吉他,1 | 买入结果：【未命中】。2022-12-20 22:14:38 贝斯。本次回收：0。总投入：6。总回收：10。总收益：0。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：小提琴,10 | 吉他,10 | 买入结果：【未命中】。2022-12-20 22:17:32 钢琴。本次回收：0。总投入：26。总回收：10。总收益：-17。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：贝斯,100 | 钢琴,100 | 买入结果：【未命中】。2022-12-20 22:22:22 小提琴。本次回收：0。总投入：226。总回收：10。总收益：-201。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-20 22:30:06 贝斯。本次回收：0。总投入：226。总回收：10。总收益：-201。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-20 22:35:54 竖琴。本次回收：0。总投入：226。总回收：10。总收益：-201。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-20 22:44:36 贝斯。本次回收：0。总投入：226。总回收：10。总收益：-201。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-20 22:48:28 钢琴。本次回收：0。总投入：226。总回收：10。总收益：-201。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-20 22:58:08 贝斯。本次回收：0。总投入：226。总回收：10。总收益：-201。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-20 23:01:02 小提琴。本次回收：0。总投入：226。总回收：10。总收益：-201。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-20 23:20:22 架子鼓。本次回收：0。总投入：226。总回收：10。总收益：-201。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-20 23:23:16 吉他。本次回收：0。总投入：226。总回收：10。总收益：-201。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-20 23:27:08 吉他。本次回收：0。总投入：226。总回收：10。总收益：-201。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-20 23:31:00 小提琴。本次回收：0。总投入：226。总回收：10。总收益：-201。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-20 23:32:56 小提琴。本次回收：0。总投入：226。总回收：10。总收益：-201。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-20 23:33:54 架子鼓。本次回收：0。总投入：226。总回收：10。总收益：-201。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-20 23:39:42 小提琴。本次回收：0。总投入：226。总回收：10。总收益：-201。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-20 23:40:40 贝斯。本次回收：0。总投入：226。总回收：10。总收益：-201。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-20 23:41:38 吉他。本次回收：0。总投入：226。总回收：10。总收益：-201。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 小提琴,1 | 买入结果：【命中】。2022-12-20 23:42:36 贝斯。本次回收：5。总投入：228。总回收：15。总收益：-200。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-20 23:48:24 钢琴。本次回收：0。总投入：230。总回收：15。总收益：-202。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：贝斯,10 | 钢琴,10 | 买入结果：【命中】。2022-12-20 23:53:14 贝斯。本次回收：50。总投入：250。总回收：65。总收益：-188。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-20 23:56:08 竖琴。本次回收：0。总投入：252。总回收：65。总收益：-190。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：小提琴,10 | 贝斯,10 | 买入结果：【命中】。2022-12-20 23:59:02 小提琴。本次回收：50。总投入：272。总回收：115。总收益：-177。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 贝斯,1 | 买入结果：【命中】。2022-12-21 00:00:00 钢琴。本次回收：5。总投入：274。总回收：120。总收益：-175。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 钢琴,1 | 买入结果：【命中】。2022-12-21 00:00:58 小提琴。本次回收：5。总投入：276。总回收：125。总收益：-174。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 钢琴,1 | 买入结果：【命中】。2022-12-21 00:01:56 贝斯。本次回收：5。总投入：278。总回收：130。总收益：-173。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 钢琴,1 | 买入结果：【命中】。2022-12-21 00:02:54 钢琴。本次回收：5。总投入：280。总回收：135。总收益：-171。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-21 00:03:52 钢琴。本次回收：0。总投入：282。总回收：135。总收益：-173。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：吉他,10 | 小提琴,10 | 买入结果：【未命中】。2022-12-21 00:08:42 钢琴。本次回收：0。总投入：302。总回收：135。总收益：-192。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：吉他,100 | 钢琴,100 | 买入结果：【未命中】。2022-12-21 00:11:36 架子鼓。本次回收：0。总投入：502。总回收：135。总收益：-376。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-21 00:15:28 小提琴。本次回收：0。总投入：504。总回收：135。总收益：-377。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：吉他,10 | 钢琴,10 | 买入结果：【未命中】。2022-12-21 00:27:04 小提琴。本次回收：0。总投入：524。总回收：135。总收益：-396。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-21 00:43:30 钢琴。本次回收：0。总投入：2。总回收：0。总收益：-1。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：吉他,10 | 钢琴,10 | 买入结果：【未命中】。2022-12-21 00:46:24 小提琴。本次回收：0。总投入：22。总回收：0。总收益：-20。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：钢琴,100 | 小提琴,100 | 买入结果：【命中】。2022-12-21 00:51:14 钢琴。本次回收：500。总投入：222。总回收：500。总收益：113。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-21 00:52:12 钢琴。本次回收：0。总投入：222。总回收：500。总收益：113。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-21 01:05:44 贝斯。本次回收：0。总投入：222。总回收：500。总收益：113。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-21 01:15:24 贝斯。本次回收：0。总投入：222。总回收：500。总收益：113。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-21 01:37:38 架子鼓。本次回收：0。总投入：222。总回收：500。总收益：113。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-21 01:40:32 吉他。本次回收：0。总投入：222。总回收：500。总收益：113。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-21 01:41:30 吉他。本次回收：0。总投入：222。总回收：500。总收益：113。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-21 01:44:24 钢琴。本次回收：0。总投入：222。总回收：500。总收益：113。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-21 01:45:22 小提琴。本次回收：0。总投入：222。总回收：500。总收益：113。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-21 02:13:24 吉他。本次回收：0。总投入：224。总回收：500。总收益：111。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：小提琴,10 | 钢琴,10 | 买入结果：【命中】。2022-12-21 02:19:12 钢琴。本次回收：50。总投入：244。总回收：550。总收益：124。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-21 02:23:04 吉他。本次回收：0。总投入：246。总回收：550。总收益：122。
