买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 10:13:34 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 11:40:34 贝斯。本次回收：0。总投入：2。总回收：0。总收益：-1。
买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-26 11:47:20 钢琴。本次回收：0。总投入：2。总回收：0。总收益：-1。
买入=开启，买入计量为2，买入：钢琴,0 | 小提琴,0 | 买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 12:11:30 吉他。本次回收：0。总投入：4。总回收：0。总收益：-3。
买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 12:12:28 小提琴。本次回收：0。总投入：4。总回收：0。总收益：-3。
买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 12:13:26 吉他。本次回收：0。总投入：4。总回收：0。总收益：-3。
买入=开启，买入计量为2，买入：小提琴,0 | 钢琴,0 | 买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 12:24:04 小提琴。本次回收：0。总投入：6。总回收：0。总收益：-5。
买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-26 12:26:58 贝斯。本次回收：0。总投入：6。总回收：0。总收益：-5。
买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-26 12:31:48 吉他。本次回收：0。总投入：6。总回收：0。总收益：-5。
买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-26 12:38:34 小提琴。本次回收：0。总投入：6。总回收：0。总收益：-5。
买入=开启，买入计量为2，买入：吉他,0 | 贝斯,0 | 买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 12:52:06 贝斯。本次回收：0。总投入：8。总回收：0。总收益：-7。
买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 12:57:54 架子鼓。本次回收：0。总投入：8。总回收：0。总收益：-7。
买入=未开启，买入计量为0，买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 13:03:42 钢琴。本次回收：0。总投入：8。总回收：0。总收益：-7。
买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 13:06:36 小提琴。本次回收：0。总投入：8。总回收：0。总收益：-7。
买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 13:07:34 小提琴。本次回收：0。总投入：8。总回收：0。总收益：-7。
买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 13:17:14 贝斯。本次回收：0。总投入：8。总回收：0。总收益：-7。
买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 13:23:02 钢琴。本次回收：0。总投入：8。总回收：0。总收益：-7。
买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 13:26:54 竖琴。本次回收：0。总投入：8。总回收：0。总收益：-7。
买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 13:32:42 竖琴。本次回收：0。总投入：8。总回收：0。总收益：-7。
买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-26 13:33:40 贝斯。本次回收：0。总投入：8。总回收：0。总收益：-7。
买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 13:36:34 钢琴。本次回收：0。总投入：8。总回收：0。总收益：-7。
买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-26 13:37:32 贝斯。本次回收：0。总投入：8。总回收：0。总收益：-7。
买入=开启，买入计量为2，买入：吉他,0 | 贝斯,0 | 买入=未开启，买入计量为0，买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-26 13:59:46 贝斯。本次回收：0。总投入：10。总回收：0。总收益：-9。
买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 14:00:44 吉他。本次回收：0。总投入：10。总回收：0。总收益：-9。
买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 14:04:36 小提琴。本次回收：0。总投入：10。总回收：0。总收益：-9。
买入=未开启，买入计量为0，买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-26 14:05:34 钢琴。本次回收：0。总投入：10。总回收：0。总收益：-9。
买入=开启，买入计量为2，买入：吉他,0 | 贝斯,0 | 买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 14:21:02 小提琴。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 14:30:42 竖琴。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-26 14:40:22 贝斯。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-26 14:47:08 圆号。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 14:49:04 钢琴。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 15:00:40 小提琴。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 15:14:12 架子鼓。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 15:16:08 架子鼓。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 15:21:56 钢琴。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 15:23:52 贝斯。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-26 15:26:46 竖琴。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 15:36:26 贝斯。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 15:41:16 钢琴。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 15:55:46 贝斯。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-26 15:58:40 吉他。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 15:59:38 萨克斯风。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 16:03:30 架子鼓。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 16:14:08 贝斯。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 16:18:58 贝斯。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-26 16:29:36 吉他。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 16:30:34 贝斯。本次回收：0。总投入：12。总回收：0。总收益：-11。
买入=开启，买入计量为2，买入：小提琴,0 | 吉他,0 | 买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 16:45:04 贝斯。本次回收：0。总投入：14。总回收：0。总收益：-12。
买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 16:46:02 贝斯。本次回收：0。总投入：14。总回收：0。总收益：-12。
买入=未开启，买入计量为0，买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 16:47:00 吉他。本次回收：0。总投入：14。总回收：0。总收益：-12。
买入=开启，买入计量为2，买入：钢琴,0 | 吉他,0 | 回合：13，买入=未开启，买入计量为0，买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 17:16:00 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：17，买入=未开启，买入计量为0，买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-26 17:19:52 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：18，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 17:20:50 竖琴。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：22，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 17:24:42 架子鼓。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：27，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-26 17:29:32 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：32，买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 17:34:22 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：33，买入=开启，买入计量为2，买入：吉他,1 | 贝斯,1 | 买入结果：【命中】。2022-12-26 17:35:20 贝斯。本次回收：5。总投入：2。总回收：5。总收益：1。
回合：34，买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-26 17:36:18 贝斯。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：35，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-26 17:37:16 小提琴。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：36，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 17:38:14 架子鼓。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：37，买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-26 17:39:12 钢琴。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：42，买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 17:44:02 贝斯。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：48，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 17:49:50 架子鼓。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：50，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-26 17:51:46 贝斯。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：51，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 17:52:44 钢琴。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：53，买入=未开启，买入计量为0，买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-26 17:54:40 吉他。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：58，买入=未开启，买入计量为0，买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 17:59:30 贝斯。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：61，买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 18:02:24 小提琴。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：62，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 18:03:22 吉他。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：63，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 18:04:20 小提琴。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：64，买入=未开启，买入计量为0，买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 18:05:18 架子鼓。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：67，买入=未开启，买入计量为0，买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-26 18:08:12 小提琴。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：68，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-26 18:09:10 小提琴。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：78，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 18:18:50 钢琴。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：95，买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 18:35:16 吉他。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：13，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-26 18:52:40 小提琴。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：15，买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 18:54:36 竖琴。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：18，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 18:57:30 钢琴。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：20，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 18:59:26 钢琴。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：32，买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 19:11:02 小提琴。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：34，买入=未开启，买入计量为0，买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 19:12:58 吉他。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：37，买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 19:15:52 吉他。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：41，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-26 19:19:44 吉他。本次回收：0。总投入：2。总回收：5。总收益：1。
回合：42，买入=开启，买入计量为2，买入：贝斯,1 | 小提琴,1 | 买入结果：【命中】。2022-12-26 19:20:42 小提琴。本次回收：5。总投入：4。总回收：10。总收益：2。
回合：46，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 19:24:34 竖琴。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：50，买入=未开启，买入计量为0，买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 19:28:26 钢琴。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：51，买入=未开启，买入计量为0，买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 19:29:24 吉他。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：67，买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 19:44:52 小提琴。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：78，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 19:55:30 钢琴。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：85，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-26 20:02:16 吉他。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：87，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 20:04:12 圆号。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：90，买入=未开启，买入计量为0，买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-26 20:07:06 贝斯。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：91，买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-26 20:08:04 小提琴。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：92，买入=未开启，买入计量为0，买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 20:09:02 钢琴。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：93，买入=未开启，买入计量为0，买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 20:10:00 吉他。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：94，买入=未开启，买入计量为0，买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-26 20:10:58 吉他。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：95，买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 20:11:56 架子鼓。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：98，买入=未开启，买入计量为0，买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 20:14:50 钢琴。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：100，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 回合：11，买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 20:27:24 吉他。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：12，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-26 20:28:22 贝斯。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：13，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 20:29:20 萨克斯风。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：15，买入=未开启，买入计量为0，买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 20:31:16 贝斯。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：21，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 20:37:04 贝斯。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：22，买入=未开启，买入计量为0，买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-26 20:38:02 小提琴。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：23，买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-26 20:39:00 小提琴。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：25，买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 20:40:56 贝斯。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：27，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 20:42:52 贝斯。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：31，买入=未开启，买入计量为0，买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-26 20:46:44 小提琴。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：37，买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 20:52:32 吉他。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：41，买入=未开启，买入计量为0，买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-26 20:56:24 小提琴。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：43，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 20:58:20 钢琴。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：48，买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 21:03:10 钢琴。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：49，买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 21:04:08 小提琴。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：54，买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 21:08:58 吉他。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：56，买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 21:10:54 贝斯。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：58，买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 21:12:50 吉他。本次回收：0。总投入：4。总回收：10。总收益：2。
回合：60，买入=开启，买入计量为2，买入：贝斯,1 | 吉他,1 | 买入结果：【命中】。2022-12-26 21:14:46 吉他。本次回收：5。总投入：6。总回收：15。总收益：4。
回合：66，买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 回合：30，买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 21:49:34 钢琴。本次回收：0。总投入：6。总回收：15。总收益：4。
回合：34，买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 21:53:26 吉他。本次回收：0。总投入：6。总回收：15。总收益：4。
回合：35，买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 21:54:24 架子鼓。本次回收：0。总投入：6。总回收：15。总收益：4。
回合：40，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 21:59:14 贝斯。本次回收：0。总投入：6。总回收：15。总收益：4。
回合：44，买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-26 22:03:06 圆号。本次回收：0。总投入：6。总回收：15。总收益：4。
回合：46，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 22:05:02 圆号。本次回收：0。总投入：6。总回收：15。总收益：4。
