同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 08:14:38 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-23 12:54:58 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-23 12:58:50 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-23 13:00:46 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-23 13:05:36 架子鼓。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-23 13:11:24 架子鼓。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-23 13:37:30 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 13:38:28 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-23 13:39:26 竖琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 13:47:10 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-23 13:49:06 贝斯。本次回收：0。总投入：2。总回收：0。总收益：-1。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：吉他,10 | 贝斯,10 | 买入结果：【未命中】。2022-12-23 13:51:02 小提琴。本次回收：0。总投入：22。总回收：0。总收益：-20。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：吉他,100 | 钢琴,100 | 买入结果：【命中】。2022-12-23 13:52:58 钢琴。本次回收：500。总投入：222。总回收：500。总收益：113。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-23 13:53:56 架子鼓。本次回收：0。总投入：222。总回收：500。总收益：113。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-23 13:56:50 钢琴。本次回收：0。总投入：222。总回收：500。总收益：113。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-23 13:57:48 钢琴。本次回收：0。总投入：222。总回收：500。总收益：113。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-23 14:04:34 钢琴。本次回收：0。总投入：222。总回收：500。总收益：113。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 钢琴,1 | 买入结果：【命中】。2022-12-23 14:08:26 吉他。本次回收：5。总投入：224。总回收：505。总收益：114。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-23 14:09:24 架子鼓。本次回收：0。总投入：226。总回收：505。总收益：112。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：贝斯,10 | 小提琴,10 | 买入结果：【未命中】。2022-12-23 14:12:18 架子鼓。本次回收：0。总投入：246。总回收：505。总收益：94。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：贝斯,100 | 钢琴,100 | 买入结果：【未命中】。2022-12-23 14:16:10 吉他。本次回收：0。总投入：446。总回收：505。总收益：-89。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 小提琴,1 | 买入结果：【命中】。2022-12-23 14:18:06 小提琴。本次回收：5。总投入：448。总回收：510。总收益：-88。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-23 14:19:04 钢琴。本次回收：0。总投入：448。总回收：510。总收益：-88。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 14:20:02 贝斯。本次回收：0。总投入：448。总回收：510。总收益：-88。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 钢琴,1 | 买入结果：【命中】。2022-12-23 14:21:00 贝斯。本次回收：5。总投入：450。总回收：515。总收益：-86。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-23 14:21:58 贝斯。本次回收：0。总投入：452。总回收：515。总收益：-88。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：吉他,10 | 钢琴,10 | 买入结果：【未命中】。2022-12-23 14:27:46 贝斯。本次回收：0。总投入：472。总回收：515。总收益：-107。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：贝斯,100 | 钢琴,100 | 买入结果：【命中】。2022-12-23 14:32:36 钢琴。本次回收：500。总投入：672。总回收：1015。总收益：26。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-23 14:33:34 贝斯。本次回收：0。总投入：672。总回收：1015。总收益：26。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-23 14:37:26 钢琴。本次回收：0。总投入：672。总回收：1015。总收益：26。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-23 14:38:24 钢琴。本次回收：0。总投入：672。总回收：1015。总收益：26。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-23 14:45:10 萨克斯风。本次回收：0。总投入：672。总回收：1015。总收益：26。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-23 14:51:56 架子鼓。本次回收：0。总投入：672。总回收：1015。总收益：26。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-23 14:55:48 钢琴。本次回收：0。总投入：672。总回收：1015。总收益：26。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-23 14:58:42 钢琴。本次回收：0。总投入：672。总回收：1015。总收益：26。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-23 15:01:36 钢琴。本次回收：0。总投入：672。总回收：1015。总收益：26。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-23 15:02:34 架子鼓。本次回收：0。总投入：672。总回收：1015。总收益：26。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-23 15:15:08 贝斯。本次回收：0。总投入：672。总回收：1015。总收益：26。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-23 15:19:00 钢琴。本次回收：0。总投入：672。总回收：1015。总收益：26。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-23 15:21:54 贝斯。本次回收：0。总投入：672。总回收：1015。总收益：26。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-23 15:29:38 吉他。本次回收：0。总投入：672。总回收：1015。总收益：26。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-23 15:30:36 贝斯。本次回收：0。总投入：674。总回收：1015。总收益：24。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：吉他,10 | 小提琴,10 | 买入结果：【未命中】。2022-12-23 15:32:32 钢琴。本次回收：0。总投入：694。总回收：1015。总收益：6。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：小提琴,100 | 吉他,100 | 买入结果：【未命中】。2022-12-23 15:37:22 贝斯。本次回收：0。总投入：894。总回收：1015。总收益：-177。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 钢琴,1 | 买入结果：【命中】。2022-12-23 15:40:16 吉他。本次回收：5。总投入：896。总回收：1020。总收益：-176。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-23 15:41:14 萨克斯风。本次回收：0。总投入：896。总回收：1020。总收益：-176。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-23 15:43:10 贝斯。本次回收：0。总投入：896。总回收：1020。总收益：-176。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-23 15:45:06 小提琴。本次回收：0。总投入：896。总回收：1020。总收益：-176。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 吉他,1 | 买入结果：【命中】。2022-12-23 15:46:04 贝斯。本次回收：5。总投入：898。总回收：1025。总收益：-175。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 贝斯,1 | 买入结果：【未命中】。2022-12-23 15:48:58 小提琴。本次回收：0。总投入：900。总回收：1025。总收益：-177。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：吉他,10 | 贝斯,10 | 买入结果：【命中】。2022-12-23 15:50:54 吉他。本次回收：50。总投入：920。总回收：1075。总收益：-163。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 小提琴,1 | 买入结果：【命中】。2022-12-23 15:51:52 贝斯。本次回收：5。总投入：922。总回收：1080。总收益：-162。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-23 16:04:26 钢琴。本次回收：0。总投入：924。总回收：1080。总收益：-164。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：钢琴,10 | 贝斯,10 | 买入结果：【未命中】。2022-12-23 16:13:08 架子鼓。本次回收：0。总投入：944。总回收：1080。总收益：-182。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-23 17:32:24 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-23 17:34:20 竖琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-23 17:40:08 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-23 17:48:50 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-23 17:53:40 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-23 18:04:18 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-23 18:05:16 竖琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-23 18:07:12 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 钢琴,1 | 买入结果：【命中】。2022-12-23 18:08:10 吉他。本次回收：5。总投入：2。总回收：5。总收益：1。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-23 18:09:08 吉他。本次回收：0。总投入：4。总回收：5。总收益：0。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：贝斯,6 | 吉他,6 | 买入结果：【未命中】。2022-12-23 18:14:56 钢琴。本次回收：0。总投入：17。总回收：5。总收益：-12。
同意买入。买入操作配置【开启】。买入计量为86。模拟买入：贝斯,43 | 小提琴,43 | 买入结果：【命中】。2022-12-23 18:16:52 贝斯。本次回收：215。总投入：103。总回收：220。总收益：44。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-23 18:17:50 吉他。本次回收：0。总投入：103。总回收：220。总收益：44。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 吉他,1 | 买入结果：【未命中】。2022-12-23 18:19:46 钢琴。本次回收：0。总投入：105。总回收：220。总收益：43。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：贝斯,6 | 小提琴,6 | 买入结果：【未命中】。2022-12-23 18:22:40 钢琴。本次回收：0。总投入：118。总回收：220。总收益：31。
同意买入。买入操作配置【开启】。买入计量为86。模拟买入：小提琴,43 | 贝斯,43 | 买入结果：【未命中】。2022-12-23 18:26:32 竖琴。本次回收：0。总投入：204。总回收：220。总收益：-47。
同意买入。买入操作配置【开启】。买入计量为573。模拟买入：小提琴,286 | 贝斯,286 | 买入结果：【未命中】。2022-12-23 18:28:28 吉他。本次回收：0。总投入：777。总回收：220。总收益：-575。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 吉他,1 | 同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 18:51:40 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 18:54:34 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 19:09:04 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 贝斯,1 | 买入结果：【命中】。2022-12-23 19:10:02 贝斯。本次回收：5。总投入：2。总回收：5。总收益：1。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-23 19:11:00 钢琴。本次回收：0。总投入：4。总回收：5。总收益：0。
