同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 13:23:20 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 14:17:28 吉他。本次回收：0。总投入：2。总回收：5。总收益：1。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-24 14:38:44 钢琴。本次回收：0。总投入：2。总回收：5。总收益：1。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-24 14:39:42 小提琴。本次回收：0。总投入：4。总回收：5。总收益：0。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：钢琴,6 | 吉他,6 | 买入结果：【未命中】。2022-12-24 14:42:36 架子鼓。本次回收：0。总投入：17。总回收：5。总收益：-12。
同意买入。买入操作配置【开启】。买入计量为86。模拟买入：小提琴,43 | 钢琴,43 | 买入结果：【未命中】。2022-12-24 14:45:30 架子鼓。本次回收：0。总投入：103。总回收：5。总收益：-91。
同意买入。买入操作配置【开启】。买入计量为573。模拟买入：贝斯,286 | 吉他,286 | 买入结果：【命中】。2022-12-24 14:47:26 吉他。本次回收：1430。总投入：676。总回收：1435。总收益：289。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 15:07:44 贝斯。本次回收：0。总投入：676。总回收：1435。总收益：289。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 15:09:40 小提琴。本次回收：0。总投入：676。总回收：1435。总收益：289。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 15:14:30 钢琴。本次回收：0。总投入：676。总回收：1435。总收益：289。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 15:16:26 钢琴。本次回收：0。总投入：676。总回收：1435。总收益：289。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 15:17:24 钢琴。本次回收：0。总投入：676。总回收：1435。总收益：289。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 15:22:14 钢琴。本次回收：0。总投入：676。总回收：1435。总收益：289。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 15:23:12 吉他。本次回收：0。总投入：676。总回收：1435。总收益：289。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 15:33:50 钢琴。本次回收：0。总投入：676。总回收：1435。总收益：289。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 15:34:48 圆号。本次回收：0。总投入：676。总回收：1435。总收益：289。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-24 15:36:44 贝斯。本次回收：0。总投入：676。总回收：1435。总收益：289。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 15:38:40 吉他。本次回收：0。总投入：676。总回收：1435。总收益：289。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-24 15:40:36 贝斯。本次回收：0。总投入：676。总回收：1435。总收益：289。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-24 15:44:28 吉他。本次回收：0。总投入：676。总回收：1435。总收益：289。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 贝斯,1 | 买入结果：【未命中】。2022-12-24 15:46:24 钢琴。本次回收：0。总投入：678。总回收：1435。总收益：287。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：小提琴,6 | 吉他,6 | 买入结果：【命中】。2022-12-24 15:50:16 吉他。本次回收：30。总投入：691。总回收：1465。总收益：294。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 15:51:14 竖琴。本次回收：0。总投入：691。总回收：1465。总收益：294。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 15:55:06 架子鼓。本次回收：0。总投入：691。总回收：1465。总收益：294。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 16:01:52 小提琴。本次回收：0。总投入：691。总回收：1465。总收益：294。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 16:05:44 小提琴。本次回收：0。总投入：691。总回收：1465。总收益：294。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 16:09:36 贝斯。本次回收：0。总投入：691。总回收：1465。总收益：294。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 16:13:28 钢琴。本次回收：0。总投入：691。总回收：1465。总收益：294。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-24 16:15:24 钢琴。本次回收：0。总投入：691。总回收：1465。总收益：294。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 16:16:22 贝斯。本次回收：0。总投入：691。总回收：1465。总收益：294。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 16:20:14 竖琴。本次回收：0。总投入：691。总回收：1465。总收益：294。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 16:40:32 贝斯。本次回收：0。总投入：691。总回收：1465。总收益：294。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 16:43:26 吉他。本次回收：0。总投入：691。总回收：1465。总收益：294。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-24 16:45:22 吉他。本次回收：0。总投入：691。总回收：1465。总收益：294。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 16:46:20 钢琴。本次回收：0。总投入：691。总回收：1465。总收益：294。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-24 16:47:18 吉他。本次回收：0。总投入：691。总回收：1465。总收益：294。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 吉他,1 | 买入结果：【命中】。2022-12-24 16:50:12 小提琴。本次回收：5。总投入：693。总回收：1470。总收益：295。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 16:51:10 圆号。本次回收：0。总投入：693。总回收：1470。总收益：295。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 16:56:00 钢琴。本次回收：0。总投入：693。总回收：1470。总收益：295。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 吉他,1 | 买入结果：【命中】。2022-12-24 16:56:58 贝斯。本次回收：5。总投入：695。总回收：1475。总收益：297。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 16:57:56 小提琴。本次回收：0。总投入：695。总回收：1475。总收益：297。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 17:00:50 竖琴。本次回收：0。总投入：695。总回收：1475。总收益：297。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-24 17:03:44 吉他。本次回收：0。总投入：695。总回收：1475。总收益：297。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 17:04:42 钢琴。本次回收：0。总投入：695。总回收：1475。总收益：297。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 17:08:34 小提琴。本次回收：0。总投入：695。总回收：1475。总收益：297。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-24 17:09:32 贝斯。本次回收：0。总投入：695。总回收：1475。总收益：297。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-24 17:10:30 吉他。本次回收：0。总投入：695。总回收：1475。总收益：297。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-24 17:11:28 贝斯。本次回收：0。总投入：697。总回收：1475。总收益：295。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：吉他,6 | 小提琴,6 | 买入结果：【未命中】。2022-12-24 17:17:16 圆号。本次回收：0。总投入：710。总回收：1475。总收益：283。
同意买入。买入操作配置【开启】。买入计量为86。模拟买入：小提琴,43 | 钢琴,43 | 买入结果：【命中】。2022-12-24 17:22:06 钢琴。本次回收：215。总投入：796。总回收：1690。总收益：340。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 17:23:04 竖琴。本次回收：0。总投入：796。总回收：1690。总收益：340。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 17:25:58 钢琴。本次回收：0。总投入：796。总回收：1690。总收益：340。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 17:26:56 吉他。本次回收：0。总投入：796。总回收：1690。总收益：340。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 17:27:54 小提琴。本次回收：0。总投入：796。总回收：1690。总收益：340。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 17:28:52 竖琴。本次回收：0。总投入：796。总回收：1690。总收益：340。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-24 17:31:46 小提琴。本次回收：0。总投入：796。总回收：1690。总收益：340。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 17:33:42 贝斯。本次回收：0。总投入：796。总回收：1690。总收益：340。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 钢琴,1 | 买入结果：【命中】。2022-12-24 17:34:40 钢琴。本次回收：5。总投入：798。总回收：1695。总收益：342。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 17:40:28 小提琴。本次回收：0。总投入：798。总回收：1695。总收益：342。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-24 17:43:22 贝斯。本次回收：0。总投入：800。总回收：1695。总收益：340。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：吉他,6 | 贝斯,6 | 买入结果：【未命中】。2022-12-24 17:46:16 钢琴。本次回收：0。总投入：813。总回收：1695。总收益：328。
同意买入。买入操作配置【开启】。买入计量为86。模拟买入：小提琴,43 | 钢琴,43 | 买入结果：【命中】。2022-12-24 17:47:14 小提琴。本次回收：215。总投入：899。总回收：1910。总收益：385。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 17:48:12 钢琴。本次回收：0。总投入：899。总回收：1910。总收益：385。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-24 17:55:56 吉他。本次回收：0。总投入：901。总回收：1910。总收益：383。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：贝斯,6 | 小提琴,6 | 买入结果：【未命中】。2022-12-24 17:58:50 钢琴。本次回收：0。总投入：914。总回收：1910。总收益：371。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 18:14:18 小提琴。本次回收：0。总投入：914。总回收：1910。总收益：371。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 18:16:14 钢琴。本次回收：0。总投入：914。总回收：1910。总收益：371。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 18:21:04 小提琴。本次回收：0。总投入：914。总回收：1910。总收益：371。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 18:25:54 萨克斯风。本次回收：0。总投入：914。总回收：1910。总收益：371。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 18:27:50 钢琴。本次回收：0。总投入：914。总回收：1910。总收益：371。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 18:32:40 架子鼓。本次回收：0。总投入：914。总回收：1910。总收益：371。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 18:37:30 钢琴。本次回收：0。总投入：914。总回收：1910。总收益：371。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 18:42:20 钢琴。本次回收：0。总投入：914。总回收：1910。总收益：371。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 18:43:18 吉他。本次回收：0。总投入：914。总回收：1910。总收益：371。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-24 18:44:16 贝斯。本次回收：0。总投入：914。总回收：1910。总收益：371。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 18:45:14 架子鼓。本次回收：0。总投入：914。总回收：1910。总收益：371。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-24 18:48:08 小提琴。本次回收：0。总投入：914。总回收：1910。总收益：371。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 钢琴,1 | 买入结果：【命中】。2022-12-24 18:49:06 钢琴。本次回收：5。总投入：916。总回收：1915。总收益：373。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 18:50:04 架子鼓。本次回收：0。总投入：916。总回收：1915。总收益：373。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-24 18:54:54 贝斯。本次回收：0。总投入：916。总回收：1915。总收益：373。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 吉他,1 | 买入结果：【命中】。2022-12-24 18:55:52 贝斯。本次回收：5。总投入：918。总回收：1920。总收益：374。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 19:10:22 贝斯。本次回收：0。总投入：918。总回收：1920。总收益：374。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-24 19:16:10 吉他。本次回收：0。总投入：918。总回收：1920。总收益：374。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-24 19:17:08 贝斯。本次回收：0。总投入：920。总回收：1920。总收益：372。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：小提琴,6 | 贝斯,6 | 买入结果：【命中】。2022-12-24 19:23:54 贝斯。本次回收：30。总投入：933。总回收：1950。总收益：379。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 19:25:50 架子鼓。本次回收：0。总投入：933。总回收：1950。总收益：379。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 19:26:48 贝斯。本次回收：0。总投入：933。总回收：1950。总收益：379。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 19:29:42 钢琴。本次回收：0。总投入：933。总回收：1950。总收益：379。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 19:31:38 吉他。本次回收：0。总投入：933。总回收：1950。总收益：379。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-24 19:36:28 钢琴。本次回收：0。总投入：933。总回收：1950。总收益：379。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-24 19:37:26 吉他。本次回收：0。总投入：933。总回收：1950。总收益：379。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 19:38:24 钢琴。本次回收：0。总投入：933。总回收：1950。总收益：379。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 吉他,1 | 同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-24 19:52:54 吉他。本次回收：0。总投入：935。总回收：1950。总收益：378。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-24 19:53:52 小提琴。本次回收：0。总投入：935。总回收：1950。总收益：378。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-24 19:55:48 小提琴。本次回收：0。总投入：935。总回收：1950。总收益：378。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-24 19:56:46 竖琴。本次回收：0。总投入：937。总回收：1950。总收益：376。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：钢琴,6 | 吉他,6 | 买入结果：【命中】。2022-12-24 19:58:42 钢琴。本次回收：30。总投入：950。总回收：1980。总收益：383。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-24 19:59:40 小提琴。本次回收：0。总投入：950。总回收：1980。总收益：383。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 吉他,1 | 买入结果：【未命中】。2022-12-24 20:00:38 贝斯。本次回收：0。总投入：952。总回收：1980。总收益：381。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：贝斯,6 | 小提琴,6 | 买入结果：【未命中】。2022-12-24 20:03:32 竖琴。本次回收：0。总投入：965。总回收：1980。总收益：369。
同意买入。买入操作配置【开启】。买入计量为86。模拟买入：钢琴,43 | 小提琴,43 | 同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 20:22:52 贝斯。本次回收：0。总投入：1051。总回收：1980。总收益：290。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 20:24:48 吉他。本次回收：0。总投入：1051。总回收：1980。总收益：290。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 20:27:42 钢琴。本次回收：0。总投入：1051。总回收：1980。总收益：290。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-24 20:29:38 小提琴。本次回收：0。总投入：1051。总回收：1980。总收益：290。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 20:30:36 小提琴。本次回收：0。总投入：1051。总回收：1980。总收益：290。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-24 20:33:30 贝斯。本次回收：0。总投入：1051。总回收：1980。总收益：290。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 小提琴,1 | 买入结果：【命中】。2022-12-24 20:34:28 钢琴。本次回收：5。总投入：1053。总回收：1985。总收益：291。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-24 20:40:16 小提琴。本次回收：0。总投入：1053。总回收：1985。总收益：291。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 吉他,1 | 买入结果：【未命中】。2022-12-24 20:57:40 贝斯。本次回收：0。总投入：1055。总回收：1985。总收益：289。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：小提琴,6 | 吉他,6 | 买入结果：【命中】。2022-12-24 21:01:32 小提琴。本次回收：30。总投入：1068。总回收：2015。总收益：296。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 21:02:30 架子鼓。本次回收：0。总投入：1068。总回收：2015。总收益：296。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 21:04:26 钢琴。本次回收：0。总投入：1068。总回收：2015。总收益：296。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 21:05:24 钢琴。本次回收：0。总投入：1068。总回收：2015。总收益：296。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 21:06:22 吉他。本次回收：0。总投入：1068。总回收：2015。总收益：296。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-24 21:08:18 吉他。本次回收：0。总投入：1068。总回收：2015。总收益：296。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 21:15:04 钢琴。本次回收：0。总投入：1068。总回收：2015。总收益：296。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 21:28:36 钢琴。本次回收：0。总投入：1068。总回收：2015。总收益：296。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-24 21:30:32 圆号。本次回收：0。总投入：1070。总回收：2015。总收益：295。
